user_id,account_id,email,role,created_at,last_login_at,is_deleted
usr_001,acc_001,alice@acme.com,admin,2023-01-15,2024-01-10,false
usr_002,acc_001,bob@acme.com,member,2023-01-16,2024-01-09,false
usr_003,acc_001,carol@acme.com,viewer,2023-01-20,2023-11-01,false
usr_004,acc_002,dave@globex.com,admin,2023-02-01,2024-01-11,false
usr_005,acc_002,eve@globex.com,member,2023-02-05,2023-12-15,false
usr_006,acc_003,frank@initech.com,admin,2022-11-20,2024-01-12,false
usr_007,acc_003,grace@initech.com,member,2022-11-21,2024-01-11,false
usr_008,acc_003,henry@initech.com,member,2022-11-22,2023-10-05,false
usr_009,acc_003,iris@initech.com,viewer,2022-12-01,2023-09-15,true
usr_010,acc_004,jack@umbrella.com,admin,2023-03-10,2023-08-01,false
usr_011,acc_005,karen@hooli.com,admin,2022-09-05,2024-01-12,false
usr_012,acc_005,liam@hooli.com,member,2022-09-06,2024-01-10,false
usr_013,acc_006,mary@piedpiper.com,admin,2023-04-22,2024-01-08,false
usr_014,acc_007,ned@massive.com,admin,2023-01-30,2024-01-11,false
usr_015,acc_008,olivia@vandelay.com,admin,2023-05-01,2023-07-15,false
usr_016,acc_009,peter@dundermifflin.com,admin,2023-02-14,2024-01-09,false
usr_017,acc_009,quinn@dundermifflin.com,member,2023-02-15,2023-12-20,false
usr_018,acc_010,rachel@wonka.com,admin,2023-03-28,2024-01-10,false
usr_019,acc_011,sam@stark.com,admin,2022-08-15,2024-01-12,false
usr_020,acc_012,tina@wayne.com,admin,2022-10-01,2024-01-11,false
usr_021,acc_013,uma@cyberdyne.com,admin,2023-04-05,2024-01-07,false
usr_022,acc_014,victor@soylent.com,admin,2023-05-15,2023-12-01,false
usr_023,acc_015,wendy@rekall.com,admin,2023-06-01,2023-06-15,true
usr_024,acc_001,xavier@acme.com,member,2023-02-01,2024-01-08,false
usr_025,acc_005,yara@hooli.com,viewer,2022-09-10,2024-01-05,false
